
          ---- Aqueous concentrations vs. grid blocks at specified times ----

   Unit: 
    - Aqueous species: Total concencentrations in mol/L     
    - Component in dry nodes in mol/L medium

VARIABLES =X,        Y,       Z,  P(bar)  ,      Sg,       Sl  ,     T(C)  ,  aH2O,    pH     ,t_tracer   ,
ZONE T= "0.100000E+00 d"  F=POINT
    200.000     40.890     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.9467E-10
    200.000    100.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.1022E-09
    200.000    138.900     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.8936E-10
    200.000    200.000     0.000  0.3005E+03  0.0000E+00  0.1000E+01 192.896  1.0000  5.6452  0.8924E-10
     -0.000   -200.000   200.000  0.3005E+03  0.0000E+00  0.1000E+01 187.187  1.0000  5.6452  0.8982E-10
     -0.000   -153.500   200.000  0.3005E+03  0.0000E+00  0.1000E+01 187.190  1.0000  5.6452  0.8987E-10
     -0.000    -55.500   200.000  0.3005E+03  0.0000E+00  0.1000E+01 187.195  1.0000  5.6452  0.9462E-10
     -0.000      0.000   200.000  0.3005E+03  0.0000E+00  0.1000E+01 187.193  1.0000  5.6452  0.9093E-10
     -0.000     50.820   200.000  0.3005E+03  0.0000E+00  0.1000E+01 187.194  1.0000  5.6452  0.9468E-10
     -0.000    156.700   200.000  0.3005E+03  0.0000E+00  0.1000E+01 187.191  1.0000  5.6452  0.8985E-10
     -0.000    200.000   200.000  0.3005E+03  0.0000E+00  0.1000E+01 187.187  1.0000  5.6452  0.8982E-10
     -0.000   -106.900   200.000  0.3005E+03  0.0000E+00  0.1000E+01 187.180  1.0000  5.6452  0.8987E-10
     -0.000    105.900   200.000  0.3005E+03  0.0000E+00  0.1000E+01 187.180  1.0000  5.6452  0.8986E-10
     -0.000   -106.900   181.500  0.3005E+03  0.0000E+00  0.1000E+01 187.719  1.0000  5.6452  0.9986E-10
     -0.000    105.900   179.900  0.3005E+03  0.0000E+00  0.1000E+01 187.760  1.0000  5.6452  0.9576E-10
     -0.000    -55.500   168.100  0.3005E+03  0.0000E+00  0.1000E+01 188.116  1.0000  5.6452  0.1108E-08
     -0.000     50.820   167.300  0.3005E+03  0.0000E+00  0.1000E+01 188.136  1.0000  5.6452  0.8699E-09
     -0.000    -10.070   165.200  0.3005E+03  0.0000E+00  0.1000E+01 188.193  1.0000  5.6452  0.2756E-09
     -0.000   -153.500   158.600  0.3005E+03  0.0000E+00  0.1000E+01 188.355  1.0000  5.6452  0.9227E-10
     -0.000    156.700   153.200  0.3005E+03  0.0000E+00  0.1000E+01 188.517  1.0000  5.6452  0.9276E-10
     -0.000    -98.240   147.200  0.3005E+03  0.0000E+00  0.1000E+01 188.693  1.0000  5.6452  0.1101E-08
     -0.000   -200.000   145.000  0.3005E+03  0.0000E+00  0.1000E+01 188.740  1.0000  5.6452  0.8972E-10
     -0.000    200.000   145.000  0.3005E+03  0.0000E+00  0.1000E+01 188.749  1.0000  5.6452  0.8989E-10
     -0.000    107.000   144.700  0.3005E+03  0.0000E+00  0.1000E+01 188.779  1.0000  5.6452  0.5379E-09
     -0.000      4.147   141.100  0.3005E+03  0.0000E+00  0.1000E+01 188.897  1.0000  5.6452  0.1359E-07
     -0.000    -47.950   131.100  0.3005E+03  0.0000E+00  0.1000E+01 189.182  1.0000  5.6452  0.9933E-07
     -0.000     72.260   128.800  0.3005E+03  0.0000E+00  0.1000E+01 189.244  1.0000  5.6452  0.2420E-07
     -0.000     35.700   124.900  0.3005E+03  0.0000E+00  0.1000E+01 189.370  1.0000  5.6452  0.1071E-06
